"Subject", "Start Date", "Start Time", "End Date", "End Time", "Location", "Description", "All day event"
"NO LECTIU","09/02/2026","00:00:00","09/02/2026","00:00:00","","","TRUE"
"SO(P) - 4T1","16/02/2026","8:00:00","16/02/2026","11:00:00","C4-240V","* Assignatura: SISTEMES OPERATIUS / * DocÃšncia en anglÃšs / * Professor/a: BARRADO MUXÃ, CRISTINA","FALSE"
"SO(P) - 4T1","23/02/2026","8:00:00","23/02/2026","11:00:00","C4-240V","* Assignatura: SISTEMES OPERATIUS / * DocÃšncia en anglÃšs / * Professor/a: BARRADO MUXÃ, CRISTINA","FALSE"
"SO(P) - 4T1","02/03/2026","8:00:00","02/03/2026","11:00:00","C4-240V","* Assignatura: SISTEMES OPERATIUS / * DocÃšncia en anglÃšs / * Professor/a: BARRADO MUXÃ, CRISTINA","FALSE"
"SO(P) - 4T1","09/03/2026","8:00:00","09/03/2026","11:00:00","C4-240V","* Assignatura: SISTEMES OPERATIUS / * DocÃšncia en anglÃšs / * Professor/a: BARRADO MUXÃ, CRISTINA","FALSE"
"SO(P) - 4T1","16/03/2026","8:00:00","16/03/2026","11:00:00","C4-240V","* Assignatura: SISTEMES OPERATIUS / * DocÃšncia en anglÃšs / * Professor/a: BARRADO MUXÃ, CRISTINA","FALSE"
"SO(P) - 4T1","23/03/2026","8:00:00","23/03/2026","11:00:00","C4-240V","* Assignatura: SISTEMES OPERATIUS / * DocÃšncia en anglÃšs / * Professor/a: BARRADO MUXÃ, CRISTINA","FALSE"
"SO(P) - 4T1","13/04/2026","8:00:00","13/04/2026","11:00:00","C4-240V","* Assignatura: SISTEMES OPERATIUS / * DocÃšncia en anglÃšs / * Professor/a: BARRADO MUXÃ, CRISTINA","FALSE"
"SO(P) - 4T1","20/04/2026","8:00:00","20/04/2026","11:00:00","C4-240V","* Assignatura: SISTEMES OPERATIUS / * DocÃšncia en anglÃšs / * Professor/a: BARRADO MUXÃ, CRISTINA","FALSE"
"SO(P) - 4T1","27/04/2026","8:00:00","27/04/2026","11:00:00","C4-240V","* Assignatura: SISTEMES OPERATIUS / * DocÃšncia en anglÃšs / * Professor/a: BARRADO MUXÃ, CRISTINA","FALSE"
